donor_id,acceptor_id,donor_smiles,acceptor_smiles
YAEBEAMNQJFGAS-UHFFFAOYSA-N,KLTDWPQEFAFYEG-UHFFFAOYSA-N,CCCCc1nc(Cl)c(C=O)n1Cc1ccccc1,O=Cc1ccc(F)c(C(=O)N2CCC(N(Cc3ccccc3)C(=O)O)C2)c1
SGEVFJCISZGXRX-UHFFFAOYSA-N,QBMARTBTGPLUBB-UHFFFAOYSA-N,O=Cc1ccc(OCC2Cc3cc(F)ccc3O2)c(F)c1,Cc1cn2c(s1)c(C=O)c(=O)c1cc(F)c(F)cc12
RQAANLABWMJVOK-UHFFFAOYSA-N,KGRFLECKNDNCHM-UHFFFAOYSA-N,O=Cc1cccc(C(=O)Oc2ccc(C(c3ccc(O)cc3)(C(F)(F)F)C(F)(F)F)cc2)c1,COc1nc(Br)ccc1C=O
LHARNADBHUSQEF-UHFFFAOYSA-N,BMYJEFXPGLCOTQ-UHFFFAOYSA-N,O=Cc1ccc(S(=O)(=O)NCCCC(F)(F)F)o1,NCCOc1ccc(F)cc1C1CCCN1c1ccn2ncc(C=O)c2n1
IVXCAMJPPIEWPL-UHFFFAOYSA-N,SHXWDGKGFHMWKP-UHFFFAOYSA-N,O=Cc1ccc(OCC2CCCCO2)c(F)c1,O=Cc1cccc(Cl)c1OCC(F)(F)c1ccccc1
RCGIBWUJDMBNKV-UHFFFAOYSA-N,FKVIJRPKBQIPBO-UHFFFAOYSA-N,O=Cc1ccnc(F)c1-c1ccc(OC(F)(F)F)cc1,Cn1c(C2CC23CCN(c2cccc(OCc4ccc(C#N)cc4F)n2)CC3)nc2cc(C=O)oc21
ORVKHRNDGSSICU-UHFFFAOYSA-N,WFWPZSVNTSMDIV-UHFFFAOYSA-N,Cc1ccnc(Nc2c(C=O)cccc2-c2ccccc2F)c1[N+](=O)[O-],O=Cc1nnc(CCCCc2ccc(NC(=O)Cc3cccc(OC(F)(F)F)c3)nn2)s1
CYCOKLSNAORCFU-UHFFFAOYSA-N,HDQWGGSTKOCCBE-UHFFFAOYSA-N,CCn1c(COc2cc(F)c(C=O)cc2OC)nc2ccccc21,O=Cc1nnn(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1ccccc1
VGSSWRSGUDZTPZ-UHFFFAOYSA-N,XHQUORHNAGGFOP-UHFFFAOYSA-N,CC(F)(F)C(F)(F)C(F)(F)CCSc1ccc(C=O)c(Br)c1,COc1ccc(OC)c2cc(C=O)ccc12
NRMONEKLSRYFPV-UHFFFAOYSA-N,AIXRMWFZMJIOAE-UHFFFAOYSA-N,CCCCCCCCCCCCCCNc1nc(C=O)ncc1-c1ccc(C(F)(F)F)cc1,COc1cccc2ccc3cccc(C=O)c3c12
LRBREIWVYONFFR-UHFFFAOYSA-N,WIXJLVCGPRNAPC-UHFFFAOYSA-N,Cn1c(CC=O)cc2c(F)cccc21,Cc1cc(Cl)c(OC(F)F)c(C=O)c1
