ald_id,smiles,canon
DGHSKNQZTQQXPM-MXILELMHSA-N,C\C=C/C=C(\C=C\CCC)c1cc(C/C(C)=C(/C)Nc2cc(SCC)c(C)cc2F)c(C=O)s1,C/C=C\C=C(/C=C/CCC)c1cc(C/C(C)=C(/C)Nc2cc(SCC)c(C)cc2F)c(C=O)s1
IZGKBOYNQXDICV-UHFFFAOYSA-N,O=Cc1c(Oc2ccc(C(F)(F)F)cc2Cl)cccc1[N+](=O)[O-],O=Cc1c(Oc2ccc(C(F)(F)F)cc2Cl)cccc1[N+](=O)[O-]
AFMBMEWOTDJSQP-UHFFFAOYSA-N,COc1cc2ccsc2c(C=O)c1F,COc1cc2ccsc2c(C=O)c1F
DBFDSPQZBUTQDD-XFKSJGNHSA-N,CC(C)c1cc(C=O)c2c(c1O)O[C@@H]1O[C@@H](O)[C@H]3C(C)(C)CCC[C@@]213,CC(C)c1cc(C=O)c2c(c1O)O[C@@H]1O[C@@H](O)[C@H]3C(C)(C)CCC[C@@]213
NVTPYRQVYROPPB-UHFFFAOYSA-N,O=Cc1ccnc(OCC(F)F)c1,O=Cc1ccnc(OCC(F)F)c1
GGQWLSPOXZAJGX-UHFFFAOYSA-N,O=Cc1ncc(-c2cccc(C(F)(F)F)c2)cc1-c1cccc(C(F)(F)F)c1,O=Cc1ncc(-c2cccc(C(F)(F)F)c2)cc1-c1cccc(C(F)(F)F)c1
ZKYPGAGIMYIODA-UHFFFAOYSA-N,O=Cc1ccc(C(=O)O)cc1S(=O)(=O)O,O=Cc1ccc(C(=O)O)cc1S(=O)(=O)O
AEOIZHSEXJLPEA-UHFFFAOYSA-N,CC1(C(N)=O)CC(c2ccc(F)c(Cl)c2)Nc2cnc(C=O)cc21,CC1(C(N)=O)CC(c2ccc(F)c(Cl)c2)Nc2cnc(C=O)cc21
DSTJTQAKRNPWFU-UHFFFAOYSA-N,O=Cc1ccc(C(F)F)c(CCC(=O)O)c1,O=Cc1ccc(C(F)F)c(CCC(=O)O)c1
KXJHUNOLSYUXHS-UHFFFAOYSA-N,CC(O)N(CC1CCCC1)C(=O)CCCOc1c(F)ccc(C=O)c1[N+](=O)[O-],CC(O)N(CC1CCCC1)C(=O)CCCOc1c(F)ccc(C=O)c1[N+](=O)[O-]
KVRLRWINDMTKLG-UHFFFAOYSA-N,O=Cc1sc2c(F)cccc2c1Cl,O=Cc1sc2c(F)cccc2c1Cl
LUUBSIRHLTWNGQ-UHFFFAOYSA-N,O=Cc1cn(CC(=O)Nc2ccccc2C(F)(F)F)c2ccccc12,O=Cc1cn(CC(=O)Nc2ccccc2C(F)(F)F)c2ccccc12
KNDGAAOBWVEIKR-UHFFFAOYSA-N,C[Si](C)(C)c1cc(Br)c(C(F)(F)F)c(C=O)c1F,C[Si](C)(C)c1cc(Br)c(C(F)(F)F)c(C=O)c1F
LEEIJROYIIGPFU-UHFFFAOYSA-N,Nc1cc(C=O)c([N+](=O)[O-])nc1C(F)F,Nc1cc(C=O)c([N+](=O)[O-])nc1C(F)F
NVMPGPIJTQUBRQ-UHFFFAOYSA-N,Cc1ccc(N(c2ccc(C=O)cc2)c2ccc3c4c(cccc24)CC3)cc1,Cc1ccc(N(c2ccc(C=O)cc2)c2ccc3c4c(cccc24)CC3)cc1
